,Gender,Age,Salary,Purchase Iphone
16,Male,47,25000,iphone11
17,Male,45,26000,iphone11
18,Male,46,28000,iphone11
19,Female,48,29000,iphone11
20,Male,45,22000,iphone11
21,Female,47,49000,iphone11
22,Male,48,41000,iphone11
23,Female,45,22000,iphone11
24,Male,46,23000,iphone11
25,Male,47,20000,iphone11
26,Male,49,28000,iphone11
27,Female,47,30000,iphone11
272,Male,60,42000,iphone11
274,Female,57,26000,iphone11
278,Female,52,38000,iphone11
279,Female,50,36000,iphone11
283,Female,52,21000,iphone11
292,Male,55,39000,iphone11
300,Female,58,38000,iphone11
318,Male,45,32000,iphone11
323,Female,48,30000,iphone11
355,Male,60,34000,iphone11
361,Female,53,34000,iphone11
365,Female,59,29000,iphone11
366,Female,58,47000,iphone11
369,Female,54,26000,iphone11
370,Female,60,46000,iphone11
375,Female,46,32000,iphone11
379,Female,58,23000,iphone11
381,Male,48,33000,iphone11
383,Male,49,28000,iphone11
384,Female,57,33000,iphone11
386,Female,49,39000,iphone11
388,Male,47,34000,iphone11
389,Female,48,35000,iphone11
390,Male,48,33000,iphone11
391,Male,47,23000,iphone11
392,Female,45,45000,iphone11
393,Male,60,42000,iphone11
395,Female,46,41000,iphone11
396,Male,51,23000,iphone11
397,Female,50,20000,iphone11
399,Female,49,36000,iphone11
235,Male,46,79000,iphone12
271,Female,59,76000,iphone12
275,Male,57,74000,iphone12
282,Male,37,70000,iphone12
289,Female,37,78000,iphone12
296,Male,42,73000,iphone12
301,Male,48,74000,iphone12
303,Male,37,79000,iphone12
315,Female,39,75000,iphone12
334,Male,57,60000,iphone12
343,Female,47,51000,iphone12
346,Male,53,72000,iphone12
356,Male,54,70000,iphone12
358,Male,40,71000,iphone12
385,Male,56,60000,iphone12
146,Female,27,96000,iphone13
210,Female,48,96000,iphone13
221,Male,35,91000,iphone13
233,Male,49,86000,iphone13
242,Female,50,88000,iphone13
249,Female,35,97000,iphone13
255,Female,52,90000,iphone13
258,Female,58,95000,iphone13
264,Male,48,90000,iphone13
277,Male,49,88000,iphone13
280,Female,59,88000,iphone13
285,Female,37,93000,iphone13
291,Male,49,89000,iphone13
311,Male,39,96000,iphone13
321,Female,53,82000,iphone13
352,Female,42,90000,iphone13
354,Male,36,99000,iphone13
367,Male,46,88000,iphone13
371,Male,60,83000,iphone13
378,Male,41,87000,iphone13
7,Female,32,150000,iphone13max
31,Female,27,137000,iphone13max
48,Male,30,135000,iphone13max
63,Male,32,120000,iphone13max
75,Male,34,112000,iphone13max
85,Female,31,118000,iphone13max
97,Male,28,123000,iphone13max
103,Female,33,149000,iphone13max
